epoch,step,test_loss,train_loss,val_loss
0,124,,,64261.57421875
0,124,,99764.21875,
1,249,,,25320.615234375
1,249,,42544.72265625,
2,374,,,8302.837890625
2,374,,15579.34765625,
3,499,,,2208.33837890625
3,499,,4708.5400390625,
4,624,,,468.7264709472656
4,624,,1150.2984619140625,
5,749,,,78.60144805908203
5,749,,224.21337890625,
6,874,,,10.329205513000488
6,874,,34.5643424987793,
7,999,,,1.0543347597122192
7,999,,4.179564952850342,
8,1124,,,0.08279313147068024
8,1124,,0.39259442687034607,
9,1249,,,0.005002150312066078
9,1249,,0.028307823464274406,
10,1374,,,0.00026548421010375023
10,1374,,0.0015728054568171501,
11,1499,,,4.54105538665317e-05
11,1499,,0.00010035799641627818,
12,1624,,,3.4591404983075336e-05
12,1624,,4.0103652281686664e-05,
13,1749,,,3.3328356948914006e-05
13,1749,,3.836664473055862e-05,
14,1874,,,3.3162199542857707e-05
14,1874,,3.800205740844831e-05,
15,1999,,,3.3095642720581964e-05
15,1999,,3.794551594182849e-05,
16,2124,,,3.259486402384937e-05
16,2124,,3.793070209212601e-05,
17,2249,,,3.245381230954081e-05
17,2249,,3.779979670071043e-05,
18,2374,,,3.236040356568992e-05
18,2374,,3.791124981944449e-05,
19,2499,,,3.2015537726692855e-05
19,2499,,3.7900626921327785e-05,
20,2624,,,3.2385891245212406e-05
20,2624,,3.78023469238542e-05,
21,2749,,,3.180433850502595e-05
21,2749,,3.7999423511791974e-05,
22,2874,,,3.2733441912569106e-05
22,2874,,3.7812736991327256e-05,
23,2999,,,3.2130930776475e-05
23,2999,,3.781608029385097e-05,
24,3124,,,3.257578282500617e-05
24,3124,,3.786255547311157e-05,
25,3249,,,3.272665344411507e-05
25,3249,,3.781015766435303e-05,
26,3374,,,3.2733441912569106e-05
26,3374,,3.785384615184739e-05,
27,3499,,,3.228173591196537e-05
27,3499,,3.787768218899146e-05,
28,3624,,,3.241316881030798e-05
28,3624,,3.792118877754547e-05,
29,3749,,,3.2473857572767884e-05
29,3749,,3.784434375120327e-05,
30,3874,,,3.259136792621575e-05
30,3874,,3.7876921851420775e-05,
31,3999,,,3.195547469658777e-05
31,3999,,3.790795381064527e-05,
32,4000,,,3.739662861335091e-05
32,4000,3.69248264178168e-05,,
