epoch,step,train_loss,val_loss
0,124,,63305.25
0,124,98670.1796875,
1,249,,24749.546875
1,249,41781.6015625,
2,374,,8033.1787109375
2,374,15168.4248046875,
3,499,,2109.13134765625
3,499,4533.7900390625,
4,624,,440.6676025390625
4,624,1092.4599609375,
5,749,,72.5364761352539
5,749,209.45892333984375,
6,874,,9.32975959777832
6,874,31.67681312561035,
7,999,,0.9293374419212341
7,999,3.7474138736724854,
8,1124,,0.07091899961233139
8,1124,0.34332403540611267,
9,1249,,0.0041534448973834515
9,1249,0.024094482883810997,
10,1374,,0.00021263264352455735
10,1374,0.0013079039053991437,
11,1499,,3.8975762436166406e-05
11,1499,8.755622548051178e-05,
12,1624,,3.0505521863233298e-05
12,1624,3.950514656025916e-05,
13,1749,,2.993085035996046e-05
13,1749,3.821478458121419e-05,
14,1874,,2.9055312552372925e-05
14,1874,3.7854744732612744e-05,
15,1999,,2.9055312552372925e-05
15,1999,3.762688356800936e-05,
16,2124,,2.8915195798617788e-05
16,2124,3.7605826946673915e-05,
17,2249,,2.86362374026794e-05
17,2249,3.775841832975857e-05,
18,2374,,2.8718919566017576e-05
18,2374,3.7626326957251877e-05,
19,2499,,2.862350629584398e-05
19,2499,3.759288301807828e-05,
20,2624,,2.8915195798617788e-05
20,2624,3.762906635529362e-05,
21,2749,,2.879184285120573e-05
21,2749,3.7681442336179316e-05,
22,2874,,2.8915195798617788e-05
22,2874,3.7618887290591374e-05,
23,2999,,2.8915195798617788e-05
23,2999,3.7708749005105346e-05,
24,3124,,2.8653446861426346e-05
24,3124,3.7669658922823146e-05,
25,3249,,2.8653446861426346e-05
25,3249,3.765877409023233e-05,
26,3374,,2.862350629584398e-05
26,3374,3.774578726734035e-05,
27,3499,,2.8544855013024062e-05
27,3499,3.7684483686462045e-05,
28,3624,,2.8960039344383404e-05
28,3624,3.7676163628930226e-05,
29,3749,,2.96434427582426e-05
29,3749,3.782262865570374e-05,
30,3874,,2.951091664726846e-05
30,3874,3.760217077797279e-05,
31,3999,,2.8501735869213007e-05
31,3999,3.768660462810658e-05,
32,4124,,2.9055312552372925e-05
32,4124,3.7754572986159474e-05,
33,4249,,2.8544855013024062e-05
33,4249,3.769681279663928e-05,
34,4374,,2.9055312552372925e-05
34,4374,3.769886461668648e-05,
35,4499,,2.8960039344383404e-05
35,4499,3.779644248425029e-05,
36,4624,,2.8482969355536625e-05
36,4624,3.795705197262578e-05,
37,4749,,2.951091664726846e-05
37,4749,3.775405275519006e-05,
38,4874,,2.9113260097801685e-05
38,4874,3.778652899200097e-05,
39,4999,,2.8960039344383404e-05
39,4999,3.7712903576903045e-05,
40,5124,,2.8872214898001403e-05
40,5124,3.775122604565695e-05,
41,5249,,2.862350629584398e-05
41,5249,3.781203122343868e-05,
42,5374,,2.9105744033586234e-05
42,5374,3.7753183278255165e-05,
43,5499,,2.910257717303466e-05
43,5499,3.7847639760002494e-05,
44,5624,,2.8595426556421444e-05
44,5624,3.771220872295089e-05,
45,5749,,2.8403759642969817e-05
45,5749,3.782129715546034e-05,
46,5874,,2.8451024263631552e-05
46,5874,3.773410207941197e-05,
47,5999,,2.879184285120573e-05
47,5999,3.7898986192885786e-05,
48,6124,,2.8718919566017576e-05
48,6124,3.8337428122758865e-05,
49,6249,,2.8569209462148137e-05
49,6249,3.793007999775e-05,
50,6374,,2.9158038159948774e-05
50,6374,3.7912810512352735e-05,
51,6499,,2.993085035996046e-05
51,6499,3.794515214394778e-05,
52,6624,,2.879184285120573e-05
52,6624,3.781801206059754e-05,
53,6749,,2.8403759642969817e-05
53,6749,3.7911333492957056e-05,
54,6874,,2.951091664726846e-05
54,6874,3.813143484876491e-05,
55,6999,,2.8403061151038855e-05
55,6999,3.835729512502439e-05,
56,7124,,2.8426531571312808e-05
56,7124,3.803482832154259e-05,
57,7249,,2.861917528207414e-05
57,7249,3.8401700294343755e-05,
58,7374,,2.951091664726846e-05
58,7374,3.824540908681229e-05,
59,7499,,2.96434427582426e-05
59,7499,3.804090010817163e-05,
60,7624,,3.0971881642472e-05
60,7624,3.839996497845277e-05,
61,7749,,3.072243634960614e-05
61,7749,3.798576653935015e-05,
62,7874,,2.956633034045808e-05
62,7874,3.855221075355075e-05,
63,7999,,2.8872214898001403e-05
63,7999,3.851743531413376e-05,
64,8124,,2.8466065487009473e-05
64,8124,3.816488970187493e-05,
65,8249,,2.8955480956938118e-05
65,8249,3.8806854718131945e-05,
