epoch,step,train_accuracy,train_f1_score,train_loss,val_loss
0,781,,,,0.2691214978694916
0,781,0.88646000623703,0.88646000623703,0.4500303864479065,
1,1563,,,,0.2065606415271759
1,1563,0.932919979095459,0.932919979095459,0.2377815991640091,
2,2345,,,,0.18215662240982056
2,2345,0.9479600191116333,0.9479600191116333,0.1835152804851532,
3,3127,,,,0.15041497349739075
3,3127,0.9562399983406067,0.9562399983406067,0.15004375576972961,
4,3909,,,,0.1358671635389328
4,3909,0.9632599949836731,0.9632599949836731,0.12681721150875092,
5,4691,,,,0.12706583738327026
5,4691,0.9686599969863892,0.9686599969863892,0.10927311331033707,
6,5473,,,,0.11680425703525543
6,5473,0.9723799824714661,0.9723799824714661,0.09512210637331009,
7,6255,,,,0.1141335591673851
7,6255,0.976140022277832,0.976140022277832,0.08415169268846512,
8,7037,,,,0.10738802701234818
8,7037,0.9776800274848938,0.9776800274848938,0.0748375952243805,
9,7819,,,,0.10606157034635544
9,7819,0.9801999926567078,0.9801999926567078,0.06685938686132431,
10,8601,,,,0.10875693708658218
10,8601,0.9820799827575684,0.9820799827575684,0.06067187339067459,
11,9383,,,,0.10794804990291595
11,9383,0.9840400218963623,0.9840400218963623,0.05472208932042122,
12,10165,,,,0.11022897064685822
12,10165,0.9860600233078003,0.9860600233078003,0.049821607768535614,
13,10166,,,,0.056076325476169586
